수박 사진 업로드,판별 결과,timestamp
.gradio\flagged\수박 사진 업로드\6826d2596e3f3a28cd45\images.jpg,🌱 미숙 (아직 더 자라야 해요!),2026-05-26 15:11:12.624236
.gradio\flagged\수박 사진 업로드\58ad9b14484d792d44fc\watermelon.avif,🍉 적당함 (지금이 딱 맛있을 때입니다!),2026-05-26 15:12:58.336964
